"time","symbol","price","float","volume","relative","change","strategy"
"08:59:31  03-13-2020","LEGH","10,96","12.583.200","1.341,6","1,77","8,9","High Momo"
"08:59:20  03-13-2020","FNCB","6,41","16.966.500","3.514,2","2,64","23,0","High Momo"
"08:56:37  03-13-2020","FNCB","6,25","16.966.500","2.414,4","2,22","20,0","High Momo"
"08:53:27  03-13-2020","FENC","5,87","19.821.000","1.146,5","1,86","4,8","High Momo"
"08:50:13  03-13-2020","FENC","5,86","19.821.000","1.373,4","1,89","4,6","High Momo"
"08:48:00  03-13-2020","HHS","2,85","5.649.770","6.509,1","1,05","12,2","High Momo"
"08:45:01  03-13-2020","FSBC","14,20","1.843.940","1.866,6","1,07","1,3","High Momo"
"08:44:20  03-13-2020","CGA","2,08","3.995.500","1.103,5","1,77","4,5","High Momo"
"08:42:59  03-13-2020","MTBC","5,65","5.981.840","1.413,4","3,88","21,2","High Momo"
"08:36:44  03-13-2020","MTBC","5,18","5.981.840","1.410,4","2,99","11,2","High Momo"
"08:36:44  03-13-2020","MTBC","5,15","5.981.840","1.359,5","2,96","10,5","High Momo"
"08:36:44  03-13-2020","MTBC","5,12","5.981.840","1.357,0","2,96","9,9","High Momo"
"08:36:44  03-13-2020","MTBC","5,10","5.981.840","1.354,4","2,96","9,4","High Momo"
"08:36:40  03-13-2020","MTBC","5,04","5.981.840","1.164,8","2,84","8,2","High Momo"
"08:04:37  03-13-2020","SRTS","3,55","11.584.300","1.759,2","1,19","12,3","High Momo"
"07:57:13  03-13-2020","ALOT","9,77","6.777.130","1.221,0","1,21","11,5","High Momo"
